Clear,(klir),Net / Açýk,The sky is clear.,Gökyüzü açýk.,(dý skay iz klir),Adj
Cloud,(klavd),Bulut,Look at that white cloud.,Þu beyaz buluta bak.,(luk et det vayt klavd),Noun
Dark,(dark),Karanlýk,It's getting dark.,Hava kararýyor.,(its ge-ting dark),Adj/Noun
Light,(layt),Iþýk / Hafif,Turn on the light.,Iþýðý aç.,(törn on dý layt),Noun/Adj
Music,(mi-yu-zik),Müzik,I love listening to music.,Müzik dinlemeyi severim.,(ay lav lis-ning tu mi-yu-zik),Noun
Song,(song),Þarký,This is my favorite song.,Bu benim en sevdiðim þarký.,(dis iz may fey-vý-rit song),Noun
Movie,(mu-vi),Film,Let's watch a movie.,Hadi bir film izleyelim.,(lets voç ey mu-vi),Noun
Game,(geym),Oyun,Do you want to play a game?,Oyun oynamak ister misin?,(du yu vant tu pley ey geym),Noun
Sport,(sport),Spor,Football is a popular sport.,Futbol popüler bir spordur.,(fut-bol iz ey po-pý-lýr sport),Noun
Travel,(tre-výl),Seyahat etmek,I want to travel the world.,Dünyayý gezmek istiyorum.,(ay vant tu tre-výl dý vörld),Verb/Noun
Visit,(vi-zit),Ziyaret etmek,I will visit my grandmother.,Büyükannemi ziyaret edeceðim.,(ay vil vi-zit may grend-ma-dýr),Verb/Noun
Holiday,(ha-li-dey),Tatil,Where are you going for holiday?,Tatile nereye gidiyorsun?,(ver ar yu go-ing for ha-li-dey),Noun
Beach,(biç),Plaj,Let's go to the beach.,Hadi plaja gidelim.,(lets go tu dý biç),Noun
Hotel,(ho-tel),Otel,The hotel is near the sea.,Otel denize yakýndýr.,(dý ho-tel iz nir dý si),Noun
Ticket,(ti-kýt),Bilet,Do you have your ticket?,Biletin var mý?,(du yu hev yor ti-kýt),Noun
Bag,(beg),Çanta,Put it in your bag.,Onu çantana koy.,(put it in yor beg),Noun
Key,(ki),Anahtar,I lost my house key.,Ev anahtarýmý kaybettim.,(ay lost may haus ki),Noun
Money,(ma-ni),Para,How much money is it?,O ne kadar para?,(hav maç ma-ni iz it),Noun
Store,(stor),Maðaza,The store is closed.,Maðaza kapalý.,(dý stor iz klozd),Noun
Market,(mar-kýt),Market,I am going to the market.,Markete gidiyorum.,(ay em go-ing tu dý mar-kýt),Noun
Price,(prays),Fiyat,The price is high.,Fiyat yüksektir.,(dý prays iz hay),Noun
Bill,(bil),Fatura / Hesap,"Can I have the bill, please?",Hesabý alabilir miyim lütfen?,(ken ay hev dý bil pliz),Noun
Free,(fri),Ücretsiz / Özgür,The water is free.,Su ücretsizdir.,(dý vo-týr iz fri),Adj
Help,(help),Yardým / Yardým etmek,Can you help me?,Bana yardým edebilir misin?,(ken yu help mi),Noun/Verb
Care,(ke-ýr),Bakým / Önemsemek,Take care!,Kendine iyi bak!,(teyk ke-ýr),Noun/Verb
Safe,(seyf),Güvenli,It is safe here.,Burasý güvenlidir.,(it iz seyf hir),Adj
Health,(helt),Saðlýk,Health is wealth.,Saðlýk servettir.,(helt iz velt),Noun
Doctor,(dok-týr),Doktor,I need to see a doctor.,Bir doktor görmem lazým.,(ay nid tu si ey dok-týr),Noun
Hospital,(has-pi-týl),Hastane,Where is the nearest hospital?,En yakýn hastane nerede?,(ver iz dý nir-ist has-pi-týl),Noun
Medicine,(me-di-sýn),Ýlaç,Take your medicine.,Ýlacýný iç.,(teyk yor me-di-sýn),Noun
Pain,(peyn),Acý / Aðrý,I have a pain in my back.,Sýrtýmda bir aðrý var.,(ay hev ey peyn in may bek),Noun
Life,(layf),Hayat,Life is full of surprises.,Hayat sürprizlerle doludur.,(layf iz ful ov sör-pray-zýz),Noun
Death,(det),Ölüm,Life and death.,Hayat ve ölüm.,(layf end det),Noun
Body,(ba-di),Vücut,Keep your body strong.,Vücudunu güçlü tut.,(kip yor ba-di strong),Noun
Head,(hed),Baþ,My head hurts.,Baþým aðrýyor.,(may hed hörts),Noun
Face,(fe-ys),Yüz,Wash your face.,Yüzünü yýka.,(voþ yor fe-ys),Noun
Hair,(he-ýr),Saç,She has long hair.,Onun uzun saçlarý var.,(þi hez long he-ýr),Noun
Eye,(ay),Göz,Close your eyes.,Gözlerini kapat.,(kloz yor ayz),Noun
Ear,(ir),Kulak,I can't believe my ears.,Kulaklarýma inanamýyorum.,(ay kent bi-liv may irz),Noun
Nose,(nouz),Burun,My nose is cold.,Burnum soðuk.,(may nouz iz kold),Noun
Mouth,(mavt),Aðýz,Keep your mouth closed.,Aðzýný kapalý tut.,(kip yor mavt klozd),Noun
Tooth,(tut),Diþ,I have a tooth ache.,Diþim aðrýyor.,(ay hev ey tut eyk),Noun
Arm,(arm),Kol,He has a strong arm.,Onun güçlü bir kolu var.,(hi hez ey strong arm),Noun
Leg,(leg),Bacak,My legs are tired.,Bacaklarým yorgun.,(may legz ar tay-ýrd),Noun
Hand,(hend),El,Give me your hand.,Elini bana ver.,(giv mi yor hend),Noun
Foot,(fut),Ayak,On foot.,Yürüyerek (ayak üzerinde).,(on fut),Noun
Blood,(blad),Kan,Blood is red.,Kan kýrmýzýdýr.,(blad iz red),Noun
Heart,(hart),Kalp,Follow your heart.,Kalbinin sesini dinle.,(fa-lou yor hart),Noun
Brain,(breyn),Beyin,Use your brain.,Beynini kullan.,(yuz yor breyn),Noun
God,(gad),Tanrý,Oh my God!,Aman Tanrým!,(o may gad),Noun
Nature,(ney-çýr),Doða,I love being in nature.,Doðada olmayý severim.,(ay lav bi-ing in ney-çýr),Noun
World,(vörld),Dünya,The world is big.,Dünya büyüktür.,(dý vörld iz big),Noun
Country,(kan-tri),Ülke,Which country are you from?,Hangi ülkeden geliyorsun?,(viç kan-tri ar yu fram),Noun
City,(si-ti),Þehir,Istanbul is a beautiful city.,Ýstanbul güzel bir þehirdir.,(is-tan-bul iz ey bi-yu-ti-ful si-ti),Noun
Town,(tavn),Kasaba,It is a small town.,O küçük bir kasabadýr.,(it iz ey smol tavn),Noun
Village,(vi-lic),Köy,I live in a village.,Bir köyde yaþýyorum.,(ay liv in ey vi-lic),Noun
Street,(strit),Sokak,This is a busy street.,Burasý kalabalýk bir sokaktýr.,(dis iz ey bi-zi strit),Noun
House,(havs),Ev,This is my house.,Bu benim evim.,(dis iz may havs),Noun
Building,(bil-ding),Bina,It is a tall building.,O yüksek bir binadýr.,(it iz ey tol bil-ding),Noun
Room,(rum),Oda,My room is small.,Odam küçüktür.,(may rum iz smol),Noun
Floor,(flor),Yer / Kat,Sit on the floor.,Yere otur.,(sit on dý flor),Noun
Window,(vin-dou),Pencere,"Open the window, please.",Lütfen pencereyi aç.,(o-pýn dý vin-dou pliz),Noun
Door,(dor),Kapý,Close the door.,Kapýyý kapat.,(kloz dý dor),Noun
Wall,(vol),Duvar,A white wall.,Beyaz bir duvar.,(vayt vol),Noun
Garden,(gar-dýn),Bahçe,We have a big garden.,Büyük bir bahçemiz var.,(vi hev ey big gar-dýn),Noun
Air,(er),Hava,Fresh air.,Taze hava.,(freþ er),Noun
Water,(vo-týr),Su,Drink more water.,Daha fazla su iç.,(drink mor vo-týr),Noun
Fire,(fa-yýr),Ateþ,Don't play with fire.,Ateþle oynama.,(dont pley vid fa-yýr),Noun
Earth,(ört),Dünya / Toprak,The earth is round.,Dünya yuvarlaktýr.,(di ört iz ravnd),Noun
Sun,(san),Güneþ,The sun is shining.,Güneþ parlýyor.,(dý san iz þay-ning),Noun
Moon,(mun),Ay,The moon is bright tonight.,Bu gece ay parlaktýr.,(dý mun iz brayt tu-nayt),Noun
Star,(star),Yýldýz,I can see the stars.,Yýldýzlarý görebiliyorum.,(ay ken si dý starz),Noun
Sky,(skay),Gökyüzü,The sky is blue.,Gökyüzü mavidir.,(dý skay iz blu),Noun
River,(ri-výr),Nehir,The river is long.,Nehir uzundur.,(dý ri-výr iz long),Noun
Sea,(si),Deniz,I like the sea.,Denizi severim.,(ay lav dý si),Noun
Ocean,(o-þýn),Okyanus,The ocean is deep.,Okyanus derindir.,(di o-þýn iz dip),Noun
Mountain,(mavn-týn),Dað,I want to climb a mountain.,Bir daða týrmanmak istiyorum.,(ay vant tu klaym ey mavn-týn),Noun
Rock,(rak),Kaya,This rock is heavy.,Bu kaya aðýrdýr.,(dis rak iz he-vi),Noun
Sand,(send),Kum,I love the sand between my toes.,Ayak parmaklarýmýn arasýndaki kumu seviyorum.,(ay lav dý send bi-tvin may toz),Noun
Plant,(plent),Bitki,Water the plants.,Bitkileri sula.,(vo-týr dý plent-s),Noun/Verb
Tree,(tri),Aðaç,A big green tree.,Büyük yeþil bir aðaç.,(ey big grin tri),Noun
Flower,(fla-výr),Çiçek,Give her a flower.,Ona bir çiçek ver.,(giv hör ey fla-výr),Noun
Animal,(e-ni-mýl),Hayvan,My favorite animal is a dog.,En sevdiðim hayvan köpektir.,(may fey-vý-rit e-ni-mýl iz ey dog),Noun
Bird,(börd),Kuþ,The bird is singing.,Kuþ ötüyor.,(dý börd iz sin-ging),Noun
Fish,(fiþ),Balýk,There are many fish in the sea.,Denizde çok balýk var.,(der ar me-ni fiþ in dý si),Noun
Horse,(hors),At,He can ride a horse.,O ata binebilir.,(hi ken rayd ey hors),Noun
Cow,(kav),Ýnek,The cow gives milk.,Ýnek süt verir.,(dý kav givz milk),Noun
Sheep,(þip),Koyun,Look at those sheep.,Þu koyunlara bak.,(luk et doz þip),Noun
Pig,(pig),Domuz,A pink pig.,Pembe bir domuz.,(ey pink pig),Noun
Cat,(ket),Kedi,My cat is sleeping.,Kedim uyuyor.,(may ket iz sli-ping),Noun
Dog,(dog),Köpek,The dog is barking.,Köpek havlýyor.,(dý dog iz bar-king),Noun
Friend,(frend),Arkadaþ,You are a good friend.,Ýyi bir arkadaþsýn.,(yu ar ey gud frend),Noun
Teacher,(ti-çýr),Öðretmen,Listen to the teacher.,Öðretmeni dinle.,(lis-ýn tu dý ti-çýr),Noun
Student,(stü-dýnt),Öðrenci,I am a university student.,Ben üniversite öðrencisiyim.,(ay em ey yu-ni-vör-si-ti stü-dýnt),Noun
Book,(buk),Kitap,Read this book.,Bu kitabý oku.,(rid dis buk),Noun
Pen,(pen),Kalem,Can I borrow your pen?,Kalemini ödünç alabilir miyim?,(ken ay bo-rou yor pen),Noun
Paper,(pey-pýr),Kaðýt,I need a piece of paper.,Bir parça kaðýda ihtiyacým var.,(ay nid ey pis ov pey-pýr),Noun
Class,(kles),Sýnýf / Ders,The class is starting.,Ders baþlýyor.,(dý kles iz star-ting),Noun
Work,(vörk),Ýþ / Çalýþmak,I have a lot of work.,Çok iþim var.,(ay hev ey lot ov vörk),Noun/Verb
School,(skul),Okul,I go to school every day.,Her gün okula giderim.,(ay go tu skul ev-ri dey),Noun
History,(his-to-ri),Tarih,I like learning history.,Tarih öðrenmeyi severim.,(ay layk lör-ning his-to-ri),Noun
Art,(art),Sanat,Modern art is interesting.,Modern sanat ilginçtir.,(mo-dörn art iz in-tre-sting),Noun
Music,(mi-yu-zik),Müzik,Play some music.,Biraz müzik çal.,(pley sam mi-yu-zik),Noun
War,(vor),Savaþ,War is terrible.,Savaþ korkunçtur.,(vor iz te-ri-býl),Noun
Peace,(pis),Barýþ,We want peace.,Barýþ istiyoruz.,(vi vant pis),Noun
Law,(lo),Kanun / Hukuk,Follow the law.,Kanunlara uyun.,(fa-lou dý lo),Noun
Officer,(o-fi-sýr),Memur / Subay,He is a police officer.,O bir polis memurudur.,(hi iz ey po-lis o-fi-sýr),Noun
President,(pre-zi-dýnt),Baþkan,The president is speaking.,Baþkan konuþuyor.,(dý pre-zi-dýnt iz spi-king),Noun
Voice,(voys),Ses (Ýnsan),I like your voice.,Sesini seviyorum.,(ay layk yor voys),Noun
Sound,(savnd),Ses (Nesne),What is that sound?,O ses nedir?,(vat iz det savnd),Noun
Step,(step),Adým,Take one step.,Bir adým at.,(teyk van step),Noun
Side,(sayd),Yan / Taraf,On the other side.,Diðer tarafta.,(on di a-dýr sayd),Noun
Surface,(sör-fýs),Yüzey,A smooth surface.,Pürüzsüz bir yüzey.,(ey smud sör-fýs),Noun
Glass,(gles),Bardak / Cam,A glass of water.,Bir bardak su.,(ey gles ov vo-týr),Noun
Box,(boks),Kutu,Open the box.,Kutuyu aç.,(o-pýn dý boks),Noun
Bag,(beg),Çanta,Carry your bag.,Çantaný taþý.,(ke-ri yor beg),Noun
Gift,(gift),Hediye,A special gift.,Özel bir hediye.,(ey spe-þýl gift),Noun
Card,(kard),Kart,My credit card.,Kredi kartým.,(may kre-dit kard),Noun
Circle,(sör-kýl),Daire,Draw a circle.,Bir daire çiz.,(dro ey sör-kýl),Noun
Square,(skve-ýr),Kare,A square table.,Kare bir masa.,(ey skve-ýr tey-býl),Noun
Line,(layn),Çizgi / Hat,Wait in line.,Sýrada (çizgide) bekle.,(veyt in layn),Noun
Point,(poynt),Nokta,What is the point?,Mesele nedir?,(vat iz dý poynt),Noun
Size,(sayz),Boyut,What size is it?,Boyutu nedir?,(vat sayz iz it),Noun
Weight,(veyt),Aðýrlýk,Lose some weight.,Biraz kilo (aðýrlýk) ver.,(luz sam veyt),Noun
Distance,(dis-týns),Mesafe,Long distance.,Uzun mesafe.,(long dis-týns),Noun
Deep,(dip),Derin,The water is deep.,Su derindir.,(dý vo-týr iz dip),Adj
Wide,(vayd),Geniþ,A wide road.,Geniþ bir yol.,(ey vayd roud),Adj
Thin,(tin),Ýnce,A thin book.,Ýnce bir kitap.,(ey tin buk),Adj
Thick,(tik),Kalýn,A thick wall.,Kalýn bir duvar.,(ey tik vol),Adj
Soft,(soft),Yumuþak,Soft skin.,Yumuþak cilt.,(soft skin),Adj
Hard,(hard),Sert / Zor,Hard work.,Zor iþ.,(hard vörk),Adj
Strange,(strenc),Garip,A strange man.,Garip bir adam.,(ey strenc men),Adj
Common,(ka-mýn),Yaygýn,A common mistake.,Yaygýn bir hata.,(ey ka-mýn mis-teyk),Adj
Final,(fay-nýl),Final / Son,The final game.,Final maçý.,(dý fay-nýl geym),Adj
Possible,(po-si-býl),Mümkün,It is possible.,Mümkündür.,(it iz po-si-býl),Adj
Impossible,(im-po-si-býl),Ýmkansýz,It's impossible.,Ýmkansýzdýr.,(its im-po-si-býl),Adj
Main,(meyn),Ana / Temel,The main street.,Ana cadde.,(dý meyn strit),Adj
Simple,(sim-pýl),Basit,Keep it simple.,Basit tut.,(kip it sim-pýl),Adj
Natural,(ne-çý-rýl),Doðal,Natural gas.,Doðal gaz.,(ne-çý-rýl ges),Adj
Free,(fri),Özgür / Bedava,I am free now.,Þimdi özgürüm (müsaitim).,(ay em fri nav),Adj
Ready,(re-di),Hazýr,Get ready.,Hazýrlan (hazýr ol).,(get re-di),Adj
Full,(ful),Dolu,The bus is full.,Otobüs dolu.,(dý bas iz ful),Adj
Empty,(emp-ti),Boþ,Empty your pocket.,Cebini boþalt.,(emp-ti yor po-kýt),Adj
Correct,(ko-rekt),Doðru,Is that correct?,Bu doðru mu?,(iz det ko-rekt),Adj/Verb
Incorrect,(in-ko-rekt),Yanlýþ,An incorrect answer.,Yanlýþ bir cevap.,(en in-ko-rekt en-sýr),Adj
Public,(pab-lik),Kamusal / Halk,Public transport.,Toplu taþýma.,(pab-lik trens-port),Adj/Noun
Private,(pray-výt),Özel,A private room.,Özel bir oda.,(ey pray-výt rum),Adj
Quick,(kvik),Hýzlý,A quick lunch.,Hýzlý bir öðle yemeði.,(ey kvik lanç),Adj/Adv
Serious,(si-ri-yýs),Ciddi,A serious problem.,Ciddi bir problem.,(ey si-ri-yýs prob-lým),Adj
Quiet,(kva-yýt),Sessiz,Please be quiet.,Lütfen sessiz olun.,(pliz bi kva-yýt),Adj
Loud,(lavd),Yüksek sesli,Don't talk so loud.,Bu kadar yüksek sesle konuþma.,(dont vok so lavd),Adj/Adv
Sweet,(svit),Tatlý,Sweet tea.,Tatlý çay.,(svit ti),Adj
Bitter,(bi-týr),Acý (Tat),Bitter coffee.,Acý kahve.,(bi-týr ka-fi),Adj
Fresh,(freþ),Taze,Fresh fruit.,Taze meyve.,(freþ frut),Adj
Expensive,(eks-pen-siv),Pahalý,It's too expensive.,Çok pahalý.,(its tu eks-pen-siv),Adj
Cheap,(çip),Ucuz,Cheap shoes.,Ucuz ayakkabý.,(çip þuz),Adj
Rich,(riç),Zengin,A rich country.,Zengin bir ülke.,(ey riç kan-tri),Adj
Poor,(pu-ýr),Fakir,A poor family.,Fakir bir aile.,(ey pu-ýr fe-mi-li),Adj
Strong,(strong),Güçlü,He is very strong.,O çok güçlüdür.,(hi iz ve-ri strong),Adj
Weak,(vik),Güçsüz,I feel weak.,Güçsüz hissediyorum.,(ay fil vik),Adj
Young,(yang),Genç,A young girl.,Genç bir kýz.,(ey yang görl),Adj
Old,(old),Eski / Yaþlý,My old house.,Eski evim.,(may old haus),Adj
Long,(long),Uzun,Long hair.,Uzun saç.,(long he-ýr),Adj
Short,(þort),Kýsa,A short man.,Kýsa bir adam.,(ey þort men),Adj
Wide,(vayd),Geniþ,A wide door.,Geniþ bir kapý.,(ey vayd dor),Adj
Clean,(klin),Temiz,Keep it clean.,Temiz tut.,(kip it klin),Adj/Verb
Dirty,(dör-ti),Kirli,Dirty clothes.,Kirli kýyafetler.,(dör-ti klodz),Adj
Hot,(hat),Sýcak,Hot water.,Sýcak su.,(hat vo-týr),Adj
Cold,(kold),Soðuk,I'm cold.,Üþüyorum (soðuðum).,(ay em kold),Adj
New,(ni-yu),Yeni,New shoes.,Yeni ayakkabýlar.,(ni-yu þuz),Adj
Bright,(brayt),Parlak,A bright idea.,Parlak bir fikir.,(ey brayt ay-di-ya),Adj
Dark,(dark),Karanlýk,Dark blue.,Koyu (karanlýk) mavi.,(dark blu),Adj
Early,(ör-li),Erken,It's too early.,Çok erken.,(its tu ör-li),Adj/Adv
Late,(leyt),Geç,Don't be late.,Geç kalma.,(dont bi leyt),Adj/Adv
Fast,(fest),Hýzlý,A fast car.,Hýzlý bir araba.,(ey fest kar),Adj/Adv
Slow,(slo),Yavaþ,Be slow.,Yavaþ ol.,(bi slo),Adj/Adv
High,(hay),Yüksek,High level.,Yüksek seviye.,(hay le-výl),Adj
Low,(lou),Düþük,Low price.,Düþük fiyat.,(lou prays),Adj
Good,(gud),Ýyi,Good luck.,Ýyi þanslar.,(gud lak),Adj
Bad,(bed),Kötü,A bad dream.,Kötü bir rüya.,(ey bed drim),Adj
Easy,(i-zi),Kolay,An easy test.,Kolay bir test.,(en i-zi test),Adj
Difficult,(di-fi-kalt),Zor,It's difficult.,Zordur.,(its di-fi-kalt),Adj
Safe,(seyf),Güvenli,Drive safe.,Güvenli sür.,(drayv seyf),Adj
Dangerous,(deyn-cýr-ýs),Tehlikeli,It's dangerous.,Tehlikelidir.,(its deyn-cýr-ýs),Adj
Beautiful,(bi-yu-ti-ful),Güzel,Beautiful garden.,Güzel bahçe.,(bi-yu-ti-ful gar-dýn),Adj
Ugly,(ag-li),Çirkin,An ugly duck.,Çirkin bir ördek.,(en ag-li dak),Adj
Happy,(he-pi),Mutlu,Happy ending.,Mutlu son.,(he-pi en-ding),Adj
Sad,(sed),Üzgün,A sad movie.,Üzgün (hüzünlü) bir film.,(ey sed mu-vi),Adj
Angry,(eng-ri),Kýzgýn,He is angry.,O kýzgýndýr.,(hi iz eng-ri),Adj
Afraid,(ef-reyd),Korkmuþ,Don't be afraid.,Korkma.,(dont bi ef-reyd),Adj
Funny,(fa-ni),Komik,A funny story.,Komik bir hikaye.,(ey fa-ni sto-ri),Adj
Boring,(bo-ring),Sýkýcý,This is boring.,Bu sýkýcý.,(dis iz bo-ring),Adj
Kind,(kaynd),Nazik,Be kind to others.,Diðerlerine karþý nazik ol.,(bi kaynd tu a-dýrz),Adj
Busy,(bi-zi),Meþgul,I am very busy.,Çok meþgulüm.,(ay em ve-ri bi-zi),Adj
Hungry,(han-gri),Aç,Are you hungry?,Aç mýsýn?,(ar yu han-gri),Adj
Thirsty,(törs-ti),Susamýþ,Drink water if you're thirsty.,Susadýysan su iç.,(drink vo-týr if yor törs-ti),Adj
Sleepy,(sli-pi),Uykulu,I'm so sleepy.,Çok uykum var.,(ay em so sli-pi),Adj
Tired,(tay-ýrd),Yorgun,I'm tired of waiting.,Beklemekten yoruldum.,(ay em tay-ýrd ov vey-ting),Adj
